Mois;Gare;Prévues;Assurées;Pourcentage de correspondances assurées
2022-03;NAMUR;24268;21933;90.37827591890556
2022-04;BRUGGE;14300;13516;94.51748251748252
2022-05;ANTWERPEN-CENTRAAL;48631;42874;88.16187205691843
2022-05;BRUGGE;13649;12773;93.58194739541358
2022-05;GENT-SINT-PIETERS;49036;44250;90.2398238029203
2022-05;LIEGE-GUILLEMINS;29048;25697;88.46392178463233
2022-05;MONS;9177;8400;91.53318077803205
2022-05;NAMUR;21763;20072;92.22993153517439
2022-06;ANTWERPEN-CENTRAAL;46857;40575;86.59325180869453
2022-06;BRUGGE;15533;14533;93.56209360715894
2022-06;NAMUR;22580;20569;91.09388839681134
2022-06;ZOTTEGEM;8028;7484;93.22371699053313
2022-07;ANTWERPEN-CENTRAAL;40800;36245;88.83578431372548
2022-07;BRUGGE;15819;14932;94.39281876224793
2022-07;LIEGE-GUILLEMINS;16437;14225;86.54255642757194
2022-07;ZOTTEGEM;7836;7471;95.3420112302195
2022-08;GENT-SINT-PIETERS;51649;47800;92.5477744002788
2022-08;MONS;5831;5501;94.34059338020923
2022-09;LEUVEN;43479;39242;90.25506566388371
2022-09;LIEGE-GUILLEMINS;30939;27313;88.28016419405927
2022-09;MONS;9528;8452;88.70696893366919
2022-09;ZOTTEGEM;8784;8120;92.4408014571949
2022-10;ANTWERPEN-CENTRAAL;44415;37199;83.75323651919396
2022-10;GENT-SINT-PIETERS;49921;45213;90.56909917669918
