Mois;Type de train;Instant;Instant;Instant;Ponctualité;Nombre de trains;Nombre de train avec moins de 6 min. de retard;Minutes de retard
2018-09;S;Ochtendspits;Pointe du matin;Morning peak hour;82.9624478442281;2876;2386;8779.0
2018-09;S;Daluren;Heures creuses;Off-peak hours;87.37635882871413;10211;8922;24267.0
2018-10;IC;Avondspits;Pointe du soir;Evening peak hour;78.91252289054796;7099;5602;27612.0
2018-10;IC;Weekends;Weekends;Weekends;87.20402525651144;10136;8839;23725.0
2018-11;IC;Avondspits;Pointe du soir;Evening peak hour;78.8165490699166;6236;4915;23956.0
2018-11;IC;Daluren;Heures creuses;Off-peak hours;83.88452914798206;24976;20951;76155.0
2018-11;P;Weekends;Weekends;Weekends;64.51612903225806;62;40;381.0
2018-11;P;Daluren;Heures creuses;Off-peak hours;81.18110236220473;1270;1031;4246.0
2018-11;S;Avondspits;Pointe du soir;Evening peak hour;76.74205378973105;3272;2511;12446.0
2018-11;S;Weekends;Weekends;Weekends;89.83807928531546;3582;3218;7524.0
2018-11;S;Daluren;Heures creuses;Off-peak hours;86.39125151883353;10699;9243;27778.0
2018-12;IC;Avondspits;Pointe du soir;Evening peak hour;85.58709894171005;5953;5095;16443.0
2018-12;L;Daluren;Heures creuses;Off-peak hours;91.77325361386514;26426;24252;45167.0
2019-01;IC;Avondspits;Pointe du soir;Evening peak hour;86.32782326587363;6473;5588;17496.0
2019-01;IC;Weekends;Weekends;Weekends;94.7268326417704;11568;10958;14742.0
2019-01;IC;Daluren;Heures creuses;Off-peak hours;89.62043465137339;26504;23753;57100.0
2019-01;L;Ochtendspits;Pointe du matin;Morning peak hour;86.41753998896856;7252;6267;19498.0
2019-01;L;Weekends;Weekends;Weekends;95.46652130462434;11007;10508;13124.0
2019-01;L;Daluren;Heures creuses;Off-peak hours;91.64515129608593;29049;26622;50039.0
2019-01;P;Ochtendspits;Pointe du matin;Morning peak hour;85.87029195453533;4487;3853;11809.0
2019-01;P;Weekends;Weekends;Weekends;83.33333333333334;62;51;492.0
2019-02;P;Ochtendspits;Pointe du matin;Morning peak hour;89.24963924963924;4168;3721;9300.0
2019-02;P;Weekends;Weekends;Weekends;70.76923076923077;69;50;352.0
2019-03;IC;Weekends;Weekends;Weekends;92.8312757;12150;11279;21866.0
2019-03;IC;Daluren;Heures creuses;Off-peak hours;91.50725659999999;25563;23392;45245.0
2019-03;L;Weekends;Weekends;Weekends;94.5923181;11872;11230;15183.0
2019-04;ICT;Avondspits;Pointe du soir;Evening peak hour;100.0;40;40;17.0
2019-04;ICT;Weekends;Weekends;Weekends;93.9849624;133;125;118.0
2019-04;L;Avondspits;Pointe du soir;Evening peak hour;88.5460805;7552;6687;16663.0
