Mois;Ligne;Instant;Instant;Instant;Ponctualité;Nombre de trains comptabilisés;Nombre de trains arrivés à Bruxelles avec moins de 6 min. de retard;Minutes de retard
2018-06;25-27;Daluren;Heures creuses;Off-peak hours;86.0479797979798;1584;1363;5015
2018-06;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;83.65937859608745;869;727;2597
2018-06;36-36C;Daluren;Heures creuses;Off-peak hours;84.06593406593407;3094;2601;10585
2018-06;50A;Avondspits;Pointe du soir;Evening peak hour;83.19559228650138;363;302;1432
2018-06;50;Ochtendspits;Pointe du matin;Morning peak hour;85.43689320388349;103;88;228
2018-06;50;Avondspits;Pointe du soir;Evening peak hour;93.65079365079364;63;59;125
2018-06;50;Daluren;Heures creuses;Off-peak hours;97.5103734439834;241;235;260
2018-06;60;Avondspits;Pointe du soir;Evening peak hour;88.29787234042553;188;166;467
2018-06;89;Ochtendspits;Pointe du matin;Morning peak hour;74.23076923076923;260;193;1042
2018-06;89;Weekends;Weekends;Weekends;89.20863309352518;139;124;270
2018-06;89;Daluren;Heures creuses;Off-peak hours;88.84540117416829;511;454;1044
2018-06;94;Avondspits;Pointe du soir;Evening peak hour;88.37209302325581;172;152;434
2018-06;94;Daluren;Heures creuses;Off-peak hours;88.1159420289855;690;608;1672
2018-06;96;Ochtendspits;Pointe du matin;Morning peak hour;74.54068241469817;381;284;1668
2018-06;96;Avondspits;Pointe du soir;Evening peak hour;76.92307692307693;273;210;1219
2018-06;124;Ochtendspits;Pointe du matin;Morning peak hour;82.02614379084967;306;251;974
2018-06;124;Weekends;Weekends;Weekends;91.48264984227129;317;290;603
2018-06;161;Weekends;Weekends;Weekends;92.99610894941634;257;239;480
2018-06;161;Daluren;Heures creuses;Off-peak hours;84.70588235294117;680;576;2300
2018-06;162;Daluren;Heures creuses;Off-peak hours;75.97173144876325;283;215;1681
2018-07;25-27;Weekends;Weekends;Weekends;94.48669201520913;526;497;693
2018-07;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;91.13300492610837;812;740;1758
2018-07;36-36C;Avondspits;Pointe du soir;Evening peak hour;82.0742637644046;781;641;2982
2018-07;60;Avondspits;Pointe du soir;Evening peak hour;84.6938775510204;196;166;479
2018-07;89;Avondspits;Pointe du soir;Evening peak hour;84.67741935483872;124;105;306
2018-07;89;Weekends;Weekends;Weekends;97.36842105263158;152;148;185
2018-07;94;Ochtendspits;Pointe du matin;Morning peak hour;88.79668049792531;241;214;637
2018-07;96;Ochtendspits;Pointe du matin;Morning peak hour;88.65979381443299;388;344;1139
2018-07;96;Avondspits;Pointe du soir;Evening peak hour;81.45695364238411;302;246;1022
2018-07;124;Weekends;Weekends;Weekends;90.13698630136986;365;329;821
2018-07;124;Daluren;Heures creuses;Off-peak hours;89.64365256124721;898;805;2100
2018-07;161;Weekends;Weekends;Weekends;95.38461538461539;325;310;353
2018-07;161;Daluren;Heures creuses;Off-peak hours;88.11292719167905;673;593;1633
2018-07;162;Ochtendspits;Pointe du matin;Morning peak hour;76.92307692307693;78;60;448
2018-07;162;Daluren;Heures creuses;Off-peak hours;86.328125;256;221;898
2018-08;25-27;Ochtendspits;Pointe du matin;Morning peak hour;89.738430583501;497;446;1131
2018-08;36-36C;Daluren;Heures creuses;Off-peak hours;90.94638148256665;3413;3104;6770
2018-08;50;Ochtendspits;Pointe du matin;Morning peak hour;94.44444444444444;108;102;187
2018-08;50;Weekends;Weekends;Weekends;96.27329192546584;161;155;177
2018-08;60;Daluren;Heures creuses;Off-peak hours;96.44970414201184;676;652;707
2018-08;89;Ochtendspits;Pointe du matin;Morning peak hour;88.47926267281106;217;192;470
2018-08;89;Weekends;Weekends;Weekends;94.11764705882352;153;144;203
2018-08;89;Daluren;Heures creuses;Off-peak hours;95.61904761904762;525;502;589
2018-08;94;Daluren;Heures creuses;Off-peak hours;92.76315789473685;760;705;1138
2018-08;96;Ochtendspits;Pointe du matin;Morning peak hour;91.72749391727494;411;377;953
2018-08;96;Weekends;Weekends;Weekends;99.15433403805497;473;469;299
2018-08;124;Ochtendspits;Pointe du matin;Morning peak hour;89.8360655737705;305;274;740
2018-08;161;Ochtendspits;Pointe du matin;Morning peak hour;87.39495798319328;238;208;657
2018-08;161;Weekends;Weekends;Weekends;98.46153846153847;325;320;231
2018-09;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;81.29411764705883;850;691;3220
2018-09;50A;Avondspits;Pointe du soir;Evening peak hour;88.16901408450704;355;313;863
2018-09;50A;Weekends;Weekends;Weekends;68.71165644171779;815;560;4036
2018-09;50;Ochtendspits;Pointe du matin;Morning peak hour;88.42105263157895;95;84;243
2018-09;60;Ochtendspits;Pointe du matin;Morning peak hour;87.14285714285714;210;183;539
2018-09;60;Avondspits;Pointe du soir;Evening peak hour;87.42857142857143;175;153;479
2018-09;89;Avondspits;Pointe du soir;Evening peak hour;93.33333333333333;120;112;251
2018-09;89;Weekends;Weekends;Weekends;79.16666666666666;168;133;621
2018-09;89;Daluren;Heures creuses;Off-peak hours;93.13131313131314;495;461;789
2018-09;94;Daluren;Heures creuses;Off-peak hours;89.33717579250721;694;620;1482
2018-09;96;Ochtendspits;Pointe du matin;Morning peak hour;75.58441558441558;385;291;1463
2018-09;96;Weekends;Weekends;Weekends;93.6542669584245;457;428;715
2018-09;124;Ochtendspits;Pointe du matin;Morning peak hour;75.77854671280276;289;219;1245
2018-09;161;Ochtendspits;Pointe du matin;Morning peak hour;54.67289719626168;214;117;1211
2018-09;162;Weekends;Weekends;Weekends;17.64705882352941;17;3;446
2018-10;50A;Ochtendspits;Pointe du matin;Morning peak hour;77.35562310030394;658;509;2720
2018-10;50;Weekends;Weekends;Weekends;98.6013986013986;143;141;226
2018-10;60;Ochtendspits;Pointe du matin;Morning peak hour;80.16528925619835;242;194;738
2018-10;89;Ochtendspits;Pointe du matin;Morning peak hour;77.73972602739725;292;227;1154
2018-10;89;Daluren;Heures creuses;Off-peak hours;91.6083916083916;572;524;1049
2018-10;94;Avondspits;Pointe du soir;Evening peak hour;85.85365853658537;205;176;579
2018-10;94;Weekends;Weekends;Weekends;99.23664122137404;131;130;89
2018-10;96;Avondspits;Pointe du soir;Evening peak hour;82.00589970501476;339;278;1190
2018-10;124;Weekends;Weekends;Weekends;91.61290322580645;310;284;636
2018-10;161;Ochtendspits;Pointe du matin;Morning peak hour;62.94820717131474;251;158;1378
2018-10;161;Daluren;Heures creuses;Off-peak hours;82.36057068741893;771;635;2397
2018-10;162;Ochtendspits;Pointe du matin;Morning peak hour;69.56521739130434;92;64;431
2018-10;162;Avondspits;Pointe du soir;Evening peak hour;85.29411764705883;68;58;265
2018-10;162;Weekends;Weekends;Weekends;83.49514563106796;103;86;453
2018-10;162;Daluren;Heures creuses;Off-peak hours;77.63578274760383;313;243;1418
2018-11;25-27;Ochtendspits;Pointe du matin;Morning peak hour;70.44025157232704;477;336;2118
2018-11;50A;Ochtendspits;Pointe du matin;Morning peak hour;68.29679595278246;593;405;2808
2018-11;50A;Avondspits;Pointe du soir;Evening peak hour;89.33333333333333;375;335;789
2018-11;50A;Daluren;Heures creuses;Off-peak hours;90.17379679144385;1496;1349;3044
2018-11;50;Avondspits;Pointe du soir;Evening peak hour;95.23809523809523;63;60;136
2018-11;50;Daluren;Heures creuses;Off-peak hours;96.03174603174604;252;242;413
2018-11;60;Ochtendspits;Pointe du matin;Morning peak hour;72.0;225;162;988
2018-11;60;Weekends;Weekends;Weekends;87.5;216;189;518
2018-11;89;Ochtendspits;Pointe du matin;Morning peak hour;67.31517509727627;257;173;1381
2018-11;89;Avondspits;Pointe du soir;Evening peak hour;96.03174603174604;126;121;203
2018-11;94;Avondspits;Pointe du soir;Evening peak hour;77.24867724867724;189;146;580
2018-11;94;Weekends;Weekends;Weekends;88.10572687224669;227;200;456
2018-11;96;Daluren;Heures creuses;Off-peak hours;86.18538324420678;1122;967;3056
2018-11;124;Ochtendspits;Pointe du matin;Morning peak hour;65.5844155844156;308;202;1649
2018-11;124;Weekends;Weekends;Weekends;84.92063492063492;378;321;1095
2018-11;161;Weekends;Weekends;Weekends;93.89830508474576;295;277;509
2018-11;161;Daluren;Heures creuses;Off-peak hours;83.59486447931526;701;586;2518
2017-01;50;Weekends;Weekends;Weekends;99.375;160;159;215
