FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_190319152d2_-7e1c,POINT (5.255 50.194),6472,2024-06-11T01:50:00,980.66,5.39,90.1,0,2.24,218.3,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e1b,POINT (3.202 51.348),6418,2024-06-11T01:50:00,1013.46,12.38,66.35,0,6.31,312.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e1a,POINT (3.202 51.348),6418,2024-06-11T02:00:00,1013.28,12.38,66.43,0,6.18,310,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e19,POINT (5.255 50.194),6472,2024-06-11T02:00:00,980.67,5.75,90.58,0,2.23,225.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e18,POINT (4.358 50.797),6447,2024-06-11T02:00:00,1002.68,7.32,96.42,0,,254.7,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e17,POINT (5.255 50.194),6472,2024-06-11T02:10:00,980.73,6.05,90.84,0,2.25,231.1,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e16,POINT (4.358 50.797),6447,2024-06-11T02:10:00,1002.79,7.38,96.48,0,,257.7,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e15,POINT (3.202 51.348),6418,2024-06-11T02:10:00,1013.4,12.28,65.92,0,5.53,305.2,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e14,POINT (3.202 51.348),6418,2024-06-11T02:20:00,1013.24,12.27,65.37,0,6.02,310.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e13,POINT (4.358 50.797),6447,2024-06-11T02:20:00,1002.77,7.34,96.51,0,,259.5,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e12,POINT (5.255 50.194),6472,2024-06-11T02:20:00,980.73,6.31,91.11,0,1.98,234.8,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
